Strategy id,Strategy Name,What will you be doing,Why does it work,Symptoms,Sources,Category Source,Category Strategy,Specific symptoms,Tips for today,Recipes,Ziektebeeld
12,Caffeine in control,Limit coffee to max 1 cup before 10:00 avoid in luteal phase,Caffeine affects stress hormones and can worsen PMS.,PMS sleep problems irritability,The Hormone Reset Diet – Sara Gottfried,Book,Uitsluiting,pms anxiety sleep disturbance,It can help to give yourself a time frame in which you are allowed to drink coffee. Avoid caffeine after morning especially in luteal phase. Don't drink coffee on an empty stomach.,,
13,No naked carbs,Always combine carbohydrates with fat or protein and avoid sugars on an empty stomach,Combining macronutrients slows glucose absorption and prevents insulin spikes.,Insulin resistance mood swings fatigue,Glucose Revolution – Jessie Inchauspé,Book,Aanpassing,insulin resistance mood swings fatigue,Always eat protein/fat with carbohydrates. Avoid fruit juice or sugary snacks but especially on an empty stomach! Did you know that your blood sugar fluctuates for hours after a high spike.,,
14,Regular meal times,Eat 3 main meals and maximum 2 nutritious snacks per day,Limiting meal times supports insulin sensitivity and digestive rhythm.,Insulin resistance energy complaints,The Glucose Goddess Method – Jessie Inchauspé,Book,Aanpassing,insulin resistance fatigue,Eat at fixed times. Avoid snacking in the evening. Plan meals so you have at least 4 hours break.,,
15,Zinc for skin and cycle,Add zinc-rich foods such as pumpkin seeds eggs meat or consider supplement for deficiency,Zinc is essential for skin regeneration and hormonal regulation.,Acne PMS low immunity,Nutrient Power – William Walsh,Book,Aanpassing,acne low immunity pms,Eat pumpkin seeds or chickpeas daily. Take zinc supplementation for acne or low immunity. Combine zinc with copper balance.,,
16,Vitamin D check,Have your blood values measured and supplement if deficient,Vitamin D affects insulin sensitivity mood and immune system.,PCOS depressive complaints fatigue,The Vitamin D Solution – Michael F. Holick,Book,Aanpassing,insulin resistance depression fatigue,Ask your GP for a vitamin D test. Consider supplements with vitamin D3. Eat foods rich in vitamin D such as fatty fish eggs and fortified foods. Ensure sufficient sun exposure.,,
17,Wholefoods/unprocessed eating,Avoid packages and processed foods choose unprocessed organic and plant-based foods rich in fiber and nutrients,Processed foods often contain additives such as pesticides hormones and chemicals that can disrupt hormone balance and affect overall health.,Insulin resistance Acne PMS,NOVA classification Monteiro JAMA 2019,Science,Aanpassing,insulin resistance acne pms,Choose organic vegetables and fruits to avoid exposure to pesticides. Experiment with whole grains like buckwheat during the luteal phase. Avoid using plastic bottles for water.,,
18,Increase water intake,Drink 1.5–2.5 liters of water per day adjusted to your body size and activity level,Hydration is crucial for detoxification skin recovery and digestion. Adequate water intake helps more efficiently eliminate estrogen through the liver and colon.,Headache Dry skin Constipation Fatigue,EFSA water intake Mayo Clinic RCT skin hydration,Science,Aanpassing,headache dry skin constipation fatigue,Combine water intake with eating foods rich in calcium and magnesium such as cooked leafy greens. Add fiber-rich foods to your diet such as chickpeas pears apples and walnuts.,,
19,More healthy fats,Add daily sources of unsaturated fats such as monounsaturated fats to support hormone balance,Healthy fats are essential for the production and regulation of hormones such as estrogen and progesterone and help maintain a healthy hormone balance.,Dry skin Mood complaints Missing menstruation,Journal of Clinical Lipidology 2014 Jensen et al. MDPI/PCOS studies,Science,Aanpassing,dry skin mood complaints missing menstruation,Use olive oil for cooking and dressings. Eat avocados daily. Add pumpkin seeds to your breakfast cereals or yogurt. Choose high-fat dairy products from sheep goats buffalo or camels instead of cow dairy.,,
20,Support liver,Support the liver with specific nutrients herbs and supplements to promote the breakdown and excretion of excess hormones,The liver plays a crucial role in breaking down and excreting excess hormones such as estrogen which is essential for maintaining hormonal balance.,PMS Estrogen dominance Hormonal acne,Integrative Medicine 2019 Hodges & Minich 2015,Science,Aanpassing,pms estrogen dominance hormonal acne,Eat cooked leafy greens such as collards mustard greens and watercress. Add fiber-rich foods to your diet such as chickpeas pears apples and walnuts. Consume foods rich in glutathione such as red peppers spinach and tomatoes.,,
21,Optimize gut flora,Focus on a diverse fiber-rich diet with fermented foods and complex carbohydrates to support gut flora and promote hormone balance,A healthy gut flora supports hormone regulation including the breakdown and elimination of estrogen through the estrobolome which is essential for reducing hormone-related problems.,Digestive complaints Immune-related complaints Mood swings,Frontiers in Endocrinology 2020 MDPI Nutrients 2019,Science,Aanpassing,digestive complaints immune-related complaints mood swings,Eat fermented foods such as kimchi and sauerkraut during the follicular phase. Choose complex carbohydrates such as oats and barley. Integrate fiber-rich beans grains and root vegetables into your diet.,,
22,Less stress better eating,Integrate mindfulness and stress management techniques during meals to optimize absorption of important nutrients and reduce stress,Chronic stress can disrupt the hypothalamus-pituitary-adrenal axis leading to hormonal imbalance. Nutrients such as complex carbohydrates proteins vitamin C B vitamins magnesium and selenium are crucial for lowering cortisol and adrenaline.,Irregular cycle Stress eating Fatigue,Mindful Eating Bays Psychoneuroendocrinology 2017,Science,Aanpassing,irregular cycle stress eating fatigue,Eat foods rich in magnesium such as avocado and dark chocolate to reduce stress. Add omega-3 fatty acids to your diet by regularly consuming fatty fish such as salmon walnuts sardines and flaxseeds. Use mindfulness techniques such as deep breathing or meditation before meals.,,
23,Gluten: test or reduce,Eliminate or reduce gluten for 2-4 weeks and observe the effects on your digestion energy and hormonal health,Gluten can cause inflammation and gut problems in sensitive people which affects hormones. Reducing gluten can help stabilize glucose insulin and estrogen levels especially during the luteal phase of the cycle.,Digestive complaints Fatigue Brain fog,Nutrients 2019 Gastroenterology 2016,Science,Uitsluiting,digestive complaints fatigue brain fog,Experiment with adding gluten-free grains such as quinoa or rice during the luteal phase to stabilize blood sugar. Consider using gluten-free products available in restaurants and stores. Keep a food diary to monitor changes in symptoms.,,
24,Caffeine timing,Limit caffeine consumption especially in the luteal phase and avoid it on an empty stomach to minimize hormonal disruptions,Caffeine can increase cortisol which can disrupt sleep and negatively affect hormone balance. It also increases the risk of hormonal problems such as reduced fertility and can deplete essential nutrients needed for healthy hormone function.,Sleep problems Anxiety Stress PMS,Sleep Medicine Reviews 2017 American Journal of Clinical Nutrition 2005,Science,Uitsluiting,sleep problems anxiety stress pms,Identify if you are a slow metabolizer of caffeine. Consider a gradual reduction in caffeine use starting with half-caf and moving to decaf. Limit intake of caffeinated beverages to less than three per day especially if you are trying to conceive or have PMS.,,
